0,1,2,3,4,5,6,7,8,9,10,,
Вересень,10.09,4,чт,"Свв. мцц. Минодори, Митродори й Німфодори","святих мучениць Минодори, Митродори й Німфодори",так,посвяття,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих мучениць Минодори, Митродори й Німфодори, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і святих мучениць Минодори, Митродори й Німфодори, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва сьогодні торжественне свято світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, "
Вересень,11.09,5,пт,Прп. Теодори Олександрійської,преподобної матері нашої Теодори Олександрійської,так,посвяття,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і преподобної матері нашої Теодори Олександрійської, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і преподобної матері нашої Теодори Олександрійської, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва сьогодні торжественне свято світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, "
Вересень,12.09,6,сб,Субота перед Воздвиженям Св. сщмч. Автонома Віддання Різдва Пресв. Богородиці</i>,святого священномученика Автонома,так,віддання,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Автонома, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і святого священномученика Автонома, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,13.09,7,нд,"Неділя перед Воздвиженям 🕃 Пам’ять оновл. храму Св. Воскресіння Христа і Бога нашого Предсвяття Воздвиження чесного й животворного Хреста Св. сщмч. Корнилія, сотника","святого священномученика Корнилія, сотника",так,свято,,,"Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Корнилія, сотника, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, і святого, якого є храм, і святого священномученика Корнилія, сотника, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш, що задля нас увесь Свій задум сповнив і благозволив, щоб споруджений в Єрусалимі собор освячено було в ім'я святого Його Воскресіння - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм,"
Вересень,14.09,1,пн,🕀 Всесвітнє Воздвиження чесного й животворчого Хреста,,так,свято,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, і святого, якого є храм, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм,"
Вересень,15.09,2,вв,🕃 Св. вмч. Микити,святого великомученика Микити,так,посвяття,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого великомученика Микити, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святого великомученика Микити, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, "
Вересень,16.09,3,ср,🕃 Св. вмц. Євфимії всехвальної,святої великомучениці Євфимії всехвальної,так,посвяття,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святої великомучениці Євфимії всехвальної, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святої великомучениці Євфимії всехвальної, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, "
Вересень,17.09,4,чт,"Св. мц. Софії і трьох її дочок: Віри, Надії й Любові","святої мучениці Софії і трьох її дочок: Віри, Надії й Любові",так,посвяття,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святої мучениці Софії і трьох її дочок: Віри, Надії й Любові, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святої мучениці Софії і трьох її дочок: Віри, Надії й Любові, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, "
Вересень,18.09,5,пт,"Прп. Євменія, єп. Гортинського, чудотв.","преподобного отця нашого Євменія, єпископа Гортинського, чудотворця",так,посвяття,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і преподобного отця нашого Євменія, єпископа Гортинського, чудотворця, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і преподобного отця нашого Євменія, єпископа Гортинського, чудотворця, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, "
Вересень,19.09,6,сб,"Субота по Воздвиженні Свв. мчч. Трофима, Савватія й Доримедонта","святих мученків Трофима, Савватія й Доримедонта",так,посвяття,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих мученків Трофима, Савватія й Доримедонта, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святих мученків Трофима, Савватія й Доримедонта, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, "
Вересень,20.09,7,нд,"Неділя по Воздвиженні 🕃 Свв. мчч. та іспп. – вел. князя Михаїла та боярина його Теодора, чернігівських чудотв. 🕃 Св. вмч. Євстатія і тих, що з ним","святих мучеників та ісповідників – великого князя Михаїла та боярина його Теодора, чернігівських чудотворців, святого великомученика Євстатія і тих, що з ним",так,посвяття,,,"Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих мучеників та ісповідників – великого князя Михаїла та боярина його Теодора, чернігівських чудотворців, святого великомученика Євстатія і тих, що з ним, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святих мучеників та ісповідників – великого князя Михаїла та боярина його Теодора, чернігівських чудотворців, святого великомученика Євстатія і тих, що з ним, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, "
Вересень,21.09,1,пн,"Св. ап. Кодрата, що в Магнисії Віддання Воздвиження чесного й животворного Хреста</i>","святого апостола Кодрата, що в Магнисії",так,віддання,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого апостола Кодрата, що в Магнисії, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святого апостола Кодрата, що в Магнисії, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,22.09,2,вв,"Св. сщмч. Фоки, єп. Синопійського Св. прор. Йони Прп. Йони, пресвіт.","святого священномученика Фоки, єпископа Синопійського, святого пророка Йони, преподобного Йони, пресвітера",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Фоки, єпископа Синопійського, святого пророка Йони, преподобного Йони, пресвітера, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, і святого, якого є храм, і святого священномученика Фоки, єпископа Синопійського, святого пророка Йони, преподобного Йони, пресвітера, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,23.09,3,ср,"🕃 Зачаття чесного славн. прор., предтечі і хрестителя Господнього Івана",,так,свято,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і христителя Господнього Івана, якого свято зачаття сьогодні світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і христителя Господнього Івана, якого свято зачаття сьогодні світло звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і христителя Господнього Івана, якого свято зачаття сьогодні світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм,"
Вересень,24.09,4,чт,🕃 Св. первмц. й рівноап. Теклі,святої первомучениці й рівноапостольної Теклі,ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святої первомучениці й рівноапостольної Теклі, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, і святого, якого є храм, і святої первомучениці й рівноапостольної Теклі, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
